Word	AFINN	freq	avg_AFINN	sd_AFINN
asistirati	-2	2	-2.110	0.000
asiški	3	1	2.890	0.000
ask	3	1	2.890	0.000
askar	3	1	2.890	0.000
asketski	0	1	0.390	0.000
asociacija	4	1	4.140	0.000
asociirati	3	1	2.890	0.000
asortiman	2	3	2.057	1.443
asortiment	2	6	1.848	1.461
aspekt	-1	2	-0.860	0.000
aspirin	0	1	0.390	0.000
aster	3	1	2.890	0.000
astma	-1	10	-1.396	2.266
astmatik	-2	4	-2.110	0.000
aston	1	2	1.223	0.589
astra	1	6	0.807	1.863
astronavtka	3	1	2.890	0.000
astronom	1	5	1.390	1.046
astronomski	0	14	-0.056	2.171
astro...	0	22	0.390	1.987
ata	0	2	0.390	0.000
atak	-1	2	-0.860	0.000
ataka	0	1	0.390	0.000
ataše	-1	4	-0.860	1.443
ate	-3	1	-3.360	0.000
ateist	0	3	-0.443	1.443
ateističen	-1	1	-0.860	0.000
atek	0	2	-0.235	0.884
atenski	-2	11	-1.542	1.800
atentat	-1	5	-1.110	2.850
ati	-2	8	-1.537	1.425
atipičen	0	1	0.390	0.000
atlantik	0	18	0.321	1.593
atlantski	-2	5	-2.193	4.274
atlet	1	3	0.807	2.602
atletika	-2	3	-1.693	0.722
atletinja	0	2	0.390	3.536
atletski	1	5	0.640	2.236
atmosfera	-1	3	-0.860	1.250
atmosferski	-2	1	-2.110	0.000
atom	2	1	1.640	0.000
atomski	0	4	-0.131	2.292
atoris	0	1	0.390	0.000
atorvastatin	2	3	1.640	2.165
atrakcija	3	1	2.890	0.000
atraktiven	1	13	0.807	2.205
atraktivnost	2	2	1.640	1.768
atrazin	-2	1	-2.110	0.000
atrij	2	9	1.779	1.318
atrium	0	1	0.390	0.000
au	4	1	4.140	0.000
audi	1	30	0.846	2.169
audijev	-1	3	-1.277	1.443
audio	-1	1	-0.860	0.000
audit	0	4	0.390	0.000
aurora	0	3	-0.235	0.884
av	-2	1	-2.110	0.000
avans	0	11	-0.110	1.467
avant	0	1	0.390	0.000
avantgarda	0	2	0.390	0.000
avantgarden	2	3	2.473	0.722
avantura	3	5	2.640	1.369
avanturist	3	1	2.890	0.000
avanturističen	3	1	2.890	0.000
avčin	0	1	0.390	0.000
avdienca	3	1	2.890	0.000
avdiofil	0	5	0.390	0.884
avdiofilski	1	2	1.015	0.884
avdiosistem	2	1	1.640	0.000
avdiovizualen	0	3	0.390	2.500
avdio...	1	20	0.973	1.264
avditorij	3	13	2.698	1.234
ave	3	2	2.890	0.000
avenija	1	4	1.015	1.250
aver	0	42	-0.185	1.146
avgust	0	992	-0.182	1.955
avgusta	0	16	-0.157	1.706
avgustovski	0	82	-0.248	1.974
avg.	-1	5	-1.110	2.054
aviacija	0	9	-0.304	1.102
avion	3	1	2.890	0.000
aviopromet	2	1	1.640	0.000
avio...	1	10	1.432	1.115
avkcija	1	76	0.529	1.789
avkcijski	2	2	1.640	1.768
avla	2	2	1.640	1.768
avra	1	2	1.015	2.652
avsenik	0	2	0.390	0.000
avstralec	2	9	1.686	2.504
avstralski	1	54	0.538	2.561
avstrijski	0	375	-0.009	1.889
avstroogrski	0	1	0.390	0.000
avstro-	0	5	0.390	2.500
avstro...	0	6	0.390	2.236
avstr.	0	5	0.390	2.500
avt	1	7	1.283	2.130
avtentičen	1	13	0.529	1.552
avtentičnost	-1	2	-0.860	1.768
avto	0	137	-0.034	2.193
avtobus	0	160	0.022	2.667
avtobusen	1	63	0.552	2.317
avtocesta	0	425	-0.367	1.940
avtocesten	-1	107	-0.745	1.646
avtocisterna	-2	1	-2.110	0.000
avtodom	3	1	2.890	0.000
avtodvigalo	2	1	1.640	0.000
avtoelektrika	0	71	-0.021	2.664
avtogen	0	4	0.390	2.887
avtogol	-1	1	-0.860	0.000
avtohiša	0	1	0.390	0.000
avtohton	2	2	1.640	1.768
avtoindustrija	2	3	2.473	3.146
avtokamp	2	3	2.057	1.443
avtoklub	-1	7	-0.503	1.567
